Measure Names,Race,Sex,Year,Average Life Expectancy,Mortality
Avg. Life Expectancy,White,Male,1900,46.6,
Avg. Life Expectancy,White,Male,1901,48.0,
Avg. Life Expectancy,White,Male,1902,50.2,
Avg. Life Expectancy,White,Male,1903,49.5,
Avg. Life Expectancy,White,Male,1904,46.6,
Avg. Life Expectancy,White,Male,1905,47.6,
Avg. Life Expectancy,White,Male,1906,47.3,
Avg. Life Expectancy,White,Male,1907,46.0,
Avg. Life Expectancy,White,Male,1908,49.9,
Avg. Life Expectancy,White,Male,1909,50.9,
Avg. Life Expectancy,White,Male,1910,48.6,
Avg. Life Expectancy,White,Male,1911,51.3,
Avg. Life Expectancy,White,Male,1912,51.9,
Avg. Life Expectancy,White,Male,1913,50.8,
Avg. Life Expectancy,White,Male,1914,52.7,
Avg. Life Expectancy,White,Male,1915,53.1,
Avg. Life Expectancy,White,Male,1916,50.2,
Avg. Life Expectancy,White,Male,1917,49.3,
Avg. Life Expectancy,White,Male,1918,37.1,
Avg. Life Expectancy,White,Male,1919,54.5,
Avg. Life Expectancy,White,Male,1920,54.4,
Avg. Life Expectancy,White,Male,1921,60.8,
Avg. Life Expectancy,White,Male,1922,59.1,
Avg. Life Expectancy,White,Male,1923,57.1,
Avg. Life Expectancy,White,Male,1924,59.8,
Avg. Life Expectancy,White,Male,1925,59.3,
Avg. Life Expectancy,White,Male,1926,57.0,
Avg. Life Expectancy,White,Male,1927,60.5,
Avg. Life Expectancy,White,Male,1928,57.0,
Avg. Life Expectancy,White,Male,1929,57.2,
Avg. Life Expectancy,White,Male,1930,59.7,
Avg. Life Expectancy,White,Male,1931,60.8,
Avg. Life Expectancy,White,Male,1932,62.0,
Avg. Life Expectancy,White,Male,1933,62.7,
Avg. Life Expectancy,White,Male,1934,60.5,
Avg. Life Expectancy,White,Male,1935,61.0,
Avg. Life Expectancy,White,Male,1936,58.0,
Avg. Life Expectancy,White,Male,1937,59.3,
Avg. Life Expectancy,White,Male,1938,63.2,
Avg. Life Expectancy,White,Male,1939,63.3,
Avg. Life Expectancy,White,Male,1940,62.1,
Avg. Life Expectancy,White,Male,1941,64.4,
Avg. Life Expectancy,White,Male,1942,65.9,
Avg. Life Expectancy,White,Male,1943,63.2,
Avg. Life Expectancy,White,Male,1944,64.5,
Avg. Life Expectancy,White,Male,1945,64.4,
Avg. Life Expectancy,White,Male,1946,65.1,
Avg. Life Expectancy,White,Male,1947,65.2,
Avg. Life Expectancy,White,Male,1948,65.5,
Avg. Life Expectancy,White,Male,1949,66.2,
Avg. Life Expectancy,White,Male,1950,66.5,
Avg. Life Expectancy,White,Male,1951,66.5,
Avg. Life Expectancy,White,Male,1952,66.6,
Avg. Life Expectancy,White,Male,1953,66.8,
Avg. Life Expectancy,White,Male,1954,67.5,
Avg. Life Expectancy,White,Male,1955,67.4,
Avg. Life Expectancy,White,Male,1956,67.5,
Avg. Life Expectancy,White,Male,1957,67.2,
Avg. Life Expectancy,White,Male,1958,67.4,
Avg. Life Expectancy,White,Male,1959,67.5,
Avg. Life Expectancy,White,Male,1960,67.4,
Avg. Life Expectancy,White,Male,1961,67.8,
Avg. Life Expectancy,White,Male,1962,67.7,
Avg. Life Expectancy,White,Male,1963,67.4,
Avg. Life Expectancy,White,Male,1964,67.7,
Avg. Life Expectancy,White,Male,1965,67.6,
Avg. Life Expectancy,White,Male,1966,67.5,
Avg. Life Expectancy,White,Male,1967,67.8,
Avg. Life Expectancy,White,Male,1968,67.5,
Avg. Life Expectancy,White,Male,1969,67.7,
Avg. Life Expectancy,White,Male,1970,68.0,
Avg. Life Expectancy,White,Male,1971,68.3,
Avg. Life Expectancy,White,Male,1972,68.3,
Avg. Life Expectancy,White,Male,1973,68.5,
Avg. Life Expectancy,White,Male,1974,69.0,
Avg. Life Expectancy,White,Male,1975,69.5,
Avg. Life Expectancy,White,Male,1976,69.9,
Avg. Life Expectancy,White,Male,1977,70.2,
Avg. Life Expectancy,White,Male,1978,70.4,
Avg. Life Expectancy,White,Male,1979,70.8,
Avg. Life Expectancy,White,Male,1980,70.7,
Avg. Life Expectancy,White,Male,1981,71.1,
Avg. Life Expectancy,White,Male,1982,71.5,
Avg. Life Expectancy,White,Male,1983,71.6,
Avg. Life Expectancy,White,Male,1984,71.8,
Avg. Life Expectancy,White,Male,1985,71.8,
Avg. Life Expectancy,White,Male,1986,71.9,
Avg. Life Expectancy,White,Male,1987,72.1,
Avg. Life Expectancy,White,Male,1988,72.2,
Avg. Life Expectancy,White,Male,1989,72.5,
Avg. Life Expectancy,White,Male,1990,72.7,
Avg. Life Expectancy,White,Male,1991,72.9,
Avg. Life Expectancy,White,Male,1992,73.2,
Avg. Life Expectancy,White,Male,1993,73.1,
Avg. Life Expectancy,White,Male,1994,73.3,
Avg. Life Expectancy,White,Male,1995,73.4,
Avg. Life Expectancy,White,Male,1996,73.9,
Avg. Life Expectancy,White,Male,1997,74.3,
Avg. Life Expectancy,White,Male,1998,74.5,
Avg. Life Expectancy,White,Male,1999,74.6,
Avg. Life Expectancy,White,Male,2000,74.7,
Avg. Life Expectancy,White,Male,2001,74.9,
Avg. Life Expectancy,White,Male,2002,74.9,
Avg. Life Expectancy,White,Male,2003,75.1,
Avg. Life Expectancy,White,Male,2004,75.5,
Avg. Life Expectancy,White,Male,2005,75.5,
Avg. Life Expectancy,White,Male,2006,75.8,
Avg. Life Expectancy,White,Male,2007,76.0,
Avg. Life Expectancy,White,Male,2008,76.1,
Avg. Life Expectancy,White,Male,2009,76.4,
Avg. Life Expectancy,White,Male,2010,76.5,
Avg. Life Expectancy,White,Male,2011,76.6,
Avg. Life Expectancy,White,Male,2012,76.7,
Avg. Life Expectancy,White,Male,2013,76.7,
Avg. Life Expectancy,Black,Male,1900,32.5,
Avg. Life Expectancy,Black,Male,1901,32.2,
Avg. Life Expectancy,Black,Male,1902,32.9,
Avg. Life Expectancy,Black,Male,1903,31.7,
Avg. Life Expectancy,Black,Male,1904,29.1,
Avg. Life Expectancy,Black,Male,1905,29.6,
Avg. Life Expectancy,Black,Male,1906,31.8,
Avg. Life Expectancy,Black,Male,1907,31.1,
Avg. Life Expectancy,Black,Male,1908,33.8,
Avg. Life Expectancy,Black,Male,1909,34.2,
Avg. Life Expectancy,Black,Male,1910,33.8,
Avg. Life Expectancy,Black,Male,1911,34.6,
Avg. Life Expectancy,Black,Male,1912,35.9,
Avg. Life Expectancy,Black,Male,1913,36.7,
Avg. Life Expectancy,Black,Male,1914,37.1,
Avg. Life Expectancy,Black,Male,1915,37.5,
Avg. Life Expectancy,Black,Male,1916,39.6,
Avg. Life Expectancy,Black,Male,1917,37.0,
Avg. Life Expectancy,Black,Male,1918,29.9,
Avg. Life Expectancy,Black,Male,1919,44.5,
Avg. Life Expectancy,Black,Male,1920,45.5,
Avg. Life Expectancy,Black,Male,1921,51.6,
Avg. Life Expectancy,Black,Male,1922,51.8,
Avg. Life Expectancy,Black,Male,1923,47.7,
Avg. Life Expectancy,Black,Male,1924,45.5,
Avg. Life Expectancy,Black,Male,1925,44.9,
Avg. Life Expectancy,Black,Male,1926,43.7,
Avg. Life Expectancy,Black,Male,1927,47.6,
Avg. Life Expectancy,Black,Male,1928,45.6,
Avg. Life Expectancy,Black,Male,1929,45.7,
Avg. Life Expectancy,Black,Male,1930,47.3,
Avg. Life Expectancy,Black,Male,1931,49.5,
Avg. Life Expectancy,Black,Male,1932,52.8,
Avg. Life Expectancy,Black,Male,1933,53.5,
Avg. Life Expectancy,Black,Male,1934,50.2,
Avg. Life Expectancy,Black,Male,1935,51.3,
Avg. Life Expectancy,Black,Male,1936,47.0,
Avg. Life Expectancy,Black,Male,1937,48.3,
Avg. Life Expectancy,Black,Male,1938,51.7,
Avg. Life Expectancy,Black,Male,1939,53.2,
Avg. Life Expectancy,Black,Male,1940,51.5,
Avg. Life Expectancy,Black,Male,1941,52.5,
Avg. Life Expectancy,Black,Male,1942,55.4,
Avg. Life Expectancy,Black,Male,1943,55.4,
Avg. Life Expectancy,Black,Male,1944,55.8,
Avg. Life Expectancy,Black,Male,1945,56.1,
Avg. Life Expectancy,Black,Male,1946,57.5,
Avg. Life Expectancy,Black,Male,1947,57.9,
Avg. Life Expectancy,Black,Male,1948,58.1,
Avg. Life Expectancy,Black,Male,1949,58.9,
Avg. Life Expectancy,Black,Male,1950,59.1,
Avg. Life Expectancy,Black,Male,1951,59.2,
Avg. Life Expectancy,Black,Male,1952,59.1,
Avg. Life Expectancy,Black,Male,1953,59.7,
Avg. Life Expectancy,Black,Male,1954,61.1,
Avg. Life Expectancy,Black,Male,1955,61.4,
Avg. Life Expectancy,Black,Male,1956,61.3,
Avg. Life Expectancy,Black,Male,1957,60.7,
Avg. Life Expectancy,Black,Male,1958,61.0,
Avg. Life Expectancy,Black,Male,1959,61.3,
Avg. Life Expectancy,Black,Male,1960,61.1,
Avg. Life Expectancy,Black,Male,1961,62.0,
Avg. Life Expectancy,Black,Male,1962,61.6,
Avg. Life Expectancy,Black,Male,1963,61.0,
Avg. Life Expectancy,Black,Male,1964,61.3,
Avg. Life Expectancy,Black,Male,1965,61.2,
Avg. Life Expectancy,Black,Male,1966,60.9,
Avg. Life Expectancy,Black,Male,1967,61.4,
Avg. Life Expectancy,Black,Male,1968,60.4,
Avg. Life Expectancy,Black,Male,1969,60.6,
Avg. Life Expectancy,Black,Male,1970,60.0,
Avg. Life Expectancy,Black,Male,1971,60.5,
Avg. Life Expectancy,Black,Male,1972,60.4,
Avg. Life Expectancy,Black,Male,1973,60.9,
Avg. Life Expectancy,Black,Male,1974,61.7,
Avg. Life Expectancy,Black,Male,1975,62.4,
Avg. Life Expectancy,Black,Male,1976,62.9,
Avg. Life Expectancy,Black,Male,1977,63.4,
Avg. Life Expectancy,Black,Male,1978,63.7,
Avg. Life Expectancy,Black,Male,1979,64.0,
Avg. Life Expectancy,Black,Male,1980,63.8,
Avg. Life Expectancy,Black,Male,1981,64.5,
Avg. Life Expectancy,Black,Male,1982,65.1,
Avg. Life Expectancy,Black,Male,1983,65.2,
Avg. Life Expectancy,Black,Male,1984,65.3,
Avg. Life Expectancy,Black,Male,1985,65.0,
Avg. Life Expectancy,Black,Male,1986,64.8,
Avg. Life Expectancy,Black,Male,1987,64.7,
Avg. Life Expectancy,Black,Male,1988,64.4,
Avg. Life Expectancy,Black,Male,1989,64.3,
Avg. Life Expectancy,Black,Male,1990,64.5,
Avg. Life Expectancy,Black,Male,1991,64.6,
Avg. Life Expectancy,Black,Male,1992,65.0,
Avg. Life Expectancy,Black,Male,1993,64.6,
Avg. Life Expectancy,Black,Male,1994,64.9,
Avg. Life Expectancy,Black,Male,1995,65.2,
Avg. Life Expectancy,Black,Male,1996,66.1,
Avg. Life Expectancy,Black,Male,1997,67.2,
Avg. Life Expectancy,Black,Male,1998,67.6,
Avg. Life Expectancy,Black,Male,1999,67.8,
Avg. Life Expectancy,Black,Male,2000,68.2,
Avg. Life Expectancy,Black,Male,2001,68.5,
Avg. Life Expectancy,Black,Male,2002,68.7,
Avg. Life Expectancy,Black,Male,2003,68.9,
Avg. Life Expectancy,Black,Male,2004,69.4,
Avg. Life Expectancy,Black,Male,2005,69.5,
Avg. Life Expectancy,Black,Male,2006,69.9,
Avg. Life Expectancy,Black,Male,2007,70.3,
Avg. Life Expectancy,Black,Male,2008,70.9,
Avg. Life Expectancy,Black,Male,2009,71.4,
Avg. Life Expectancy,Black,Male,2010,71.8,
Avg. Life Expectancy,Black,Male,2011,72.2,
Avg. Life Expectancy,Black,Male,2012,72.3,
Avg. Life Expectancy,Black,Male,2013,72.3,
Mortality,White,,1900,,2613.2
Mortality,White,,1901,,2582.3
Mortality,White,,1902,,2430.1
Mortality,White,,1903,,2494.2
Mortality,White,,1904,,2630.5
Mortality,White,,1905,,2544.7
Mortality,White,,1906,,2529.3
Mortality,White,,1907,,2637.0
Mortality,White,,1908,,2412.3
Mortality,White,,1909,,2363.8
Mortality,White,,1910,,2441.9
Mortality,White,,1911,,2350.3
Mortality,White,,1912,,2327.5
Mortality,White,,1913,,2322.1
Mortality,White,,1914,,2254.1
Mortality,White,,1915,,2267.8
Mortality,White,,1916,,2365.6
Mortality,White,,1917,,2375.9
Mortality,White,,1918,,2680.7
Mortality,White,,1919,,2096.0
Mortality,White,,1920,,2166.6
Mortality,White,,1921,,1986.2
Mortality,White,,1922,,2088.2
Mortality,White,,1923,,2174.2
Mortality,White,,1924,,2073.7
Mortality,White,,1925,,2104.4
Mortality,White,,1926,,2190.6
Mortality,White,,1927,,2048.6
Mortality,White,,1928,,2182.8
Mortality,White,,1929,,2141.2
Mortality,White,,1930,,2013.8
Mortality,White,,1931,,1983.6
Mortality,White,,1932,,1982.9
Mortality,White,,1933,,1952.2
Mortality,White,,1934,,2000.7
Mortality,White,,1935,,1979.3
Mortality,White,,1936,,2087.0
Mortality,White,,1937,,2016.5
Mortality,White,,1938,,1882.7
Mortality,White,,1939,,1894.4
Mortality,White,,1940,,1925.2
Mortality,White,,1941,,1844.1
Mortality,White,,1942,,1793.7
Mortality,White,,1943,,1872.9
Mortality,White,,1944,,1788.0
Mortality,White,,1945,,1761.6
Mortality,White,,1946,,1706.1
Mortality,White,,1947,,1718.6
Mortality,White,,1948,,1691.2
Mortality,White,,1949,,1647.8
Mortality,White,,1950,,1642.5
Mortality,White,,1951,,1621.7
Mortality,White,,1952,,1588.5
Mortality,White,,1953,,1589.0
Mortality,White,,1954,,1516.3
Mortality,White,,1955,,1544.7
Mortality,White,,1956,,1554.4
Mortality,White,,1957,,1581.7
Mortality,White,,1958,,1573.1
Mortality,White,,1959,,1552.1
Mortality,White,,1960,,1586.0
Mortality,White,,1961,,1547.3
Mortality,White,,1962,,1579.1
Mortality,White,,1963,,1614.7
Mortality,White,,1964,,1572.0
Mortality,White,,1965,,1589.9
Mortality,White,,1966,,1595.7
Mortality,White,,1967,,1566.9
Mortality,White,,1968,,1602.7
Mortality,White,,1969,,1570.4
Mortality,White,,1970,,1513.7
Mortality,White,,1971,,1514.4
Mortality,White,,1972,,1520.2
Mortality,White,,1973,,1507.2
Mortality,White,,1974,,1450.8
Mortality,White,,1975,,1391.1
Mortality,White,,1976,,1379.5
Mortality,White,,1977,,1343.5
Mortality,White,,1978,,1332.5
Mortality,White,,1979,,1289.5
Mortality,White,,1980,,1317.4
Mortality,White,,1981,,1282.4
Mortality,White,,1982,,1255.9
Mortality,White,,1983,,1259.8
Mortality,White,,1984,,1245.5
Mortality,White,,1985,,1249.5
Mortality,White,,1986,,1230.5
Mortality,White,,1987,,1213.1
Mortality,White,,1988,,1215.5
Mortality,White,,1989,,1176.0
Mortality,White,,1990,,1165.3
Mortality,White,,1991,,1142.8
Mortality,White,,1992,,1122.2
Mortality,White,,1993,,1138.7
Mortality,White,,1994,,1118.4
Mortality,White,,1995,,1107.2
Mortality,White,,1996,,1082.5
Mortality,White,,1997,,1058.7
Mortality,White,,1998,,1041.6
Mortality,White,,1999,,1040.1
Mortality,White,,2000,,1029.4
Mortality,White,,2001,,1012.1
Mortality,White,,2002,,1009.0
Mortality,White,,2003,,988.8
Mortality,White,,2004,,953.2
Mortality,White,,2005,,952.9
Mortality,White,,2006,,925.8
Mortality,White,,2007,,907.1
Mortality,White,,2008,,907.1
Mortality,White,,2009,,880.5
Mortality,White,,2010,,878.5
Mortality,White,,2011,,870.2
Mortality,White,,2012,,860.0
Mortality,White,,2013,,859.2
Mortality,Black,,1900,,3576.5
Mortality,Black,,1901,,3524.8
Mortality,Black,,1902,,3399.8
Mortality,Black,,1903,,3546.5
Mortality,Black,,1904,,3845.7
Mortality,Black,,1905,,3654.7
Mortality,Black,,1906,,3341.0
Mortality,Black,,1907,,3408.1
Mortality,Black,,1908,,3140.0
Mortality,Black,,1909,,3149.0
Mortality,Black,,1910,,3087.5
Mortality,Black,,1911,,3094.2
Mortality,Black,,1912,,3114.2
Mortality,Black,,1913,,3011.9
Mortality,Black,,1914,,3017.4
Mortality,Black,,1915,,3104.1
Mortality,Black,,1916,,3035.1
Mortality,Black,,1917,,3172.8
Mortality,Black,,1918,,3532.5
Mortality,Black,,1919,,2650.0
Mortality,Black,,1920,,2748.4
Mortality,Black,,1921,,2461.2
Mortality,Black,,1922,,2560.4
Mortality,Black,,1923,,2803.9
Mortality,Black,,1924,,2947.0
Mortality,Black,,1925,,3000.7
Mortality,Black,,1926,,3054.7
Mortality,Black,,1927,,2801.1
Mortality,Black,,1928,,2980.3
Mortality,Black,,1929,,3012.6
Mortality,Black,,1930,,2845.5
Mortality,Black,,1931,,2680.3
Mortality,Black,,1932,,2550.0
Mortality,Black,,1933,,2452.1
Mortality,Black,,1934,,2567.5
Mortality,Black,,1935,,2502.9
