0	100000	100000	100000	100000	100000
1	95848	96980	98743	99406	99677
5	94546	96022	98337	99225	99593
10	93413	95389	98041	99098	99540
15	92625	94927	97814	98995	99477
20	91441	94160	97380	98765	99331
25	89722	93238	96841	98456	99101
30	88194	92217	96180	98094	98797
35	86596	91026	95349	97611	98435
40	84906	89355	94129	96868	97944
45	82264	86975	92392	95701	97181
50	78518	83583	89646	93920	96014
55	73142	78881	85968	91403	94327
60	65810	72565	81188	87752	91974
65	56696	63942	74445	82416	88598
70	45939	52870	64923	74690	83480
75	34437	39834	51831	63266	75311
80	21282	25625	36300	47468	62703
85	0	0	0	29181	45231
90	0	0	0	13377	25710
95	0	0	0	4048	10312
100	0	0	0	0	2587
