age,e0x,e0x.m,e0x.f,qx,qx.m,qx.f,lx,lx.m,lx.f
0,81.44,77.95,84.64,0.00291,0.00314,0.00267,100000,100000,100000
1,80.68,77.19,83.86,0.00031,0.00035,0.00027,99709,99686,99733
2,79.71,76.22,82.89,0.00022,0.00026,0.00019,99678,99651,99706
3,78.72,75.24,81.90,0.00016,0.00019,0.00014,99656,99625,99687
4,77.74,74.25,80.91,0.00013,0.00015,0.00012,99639,99607,99674
5,76.75,73.27,79.92,0.00012,0.00014,0.00011,99626,99592,99662
6,75.76,72.28,78.93,0.00012,0.00014,0.00011,99614,99579,99651
7,74.77,71.28,77.94,0.00011,0.00013,0.00010,99602,99565,99640
8,73.78,70.29,76.95,0.00011,0.00012,0.00010,99590,99553,99630
9,72.78,69.30,75.95,0.00010,0.00010,0.00009,99580,99541,99621
10,71.79,68.31,74.96,0.00009,0.00010,0.00009,99570,99531,99611
11,70.80,67.32,73.97,0.00009,0.00010,0.00007,99561,99521,99603
12,69.80,66.32,72.97,0.00009,0.00012,0.00006,99552,99511,99595
13,68.81,65.33,71.98,0.00011,0.00015,0.00008,99542,99499,99589
14,67.82,64.34,70.98,0.00015,0.00017,0.00012,99531,99484,99581
15,66.83,63.35,69.99,0.00019,0.00022,0.00015,99517,99467,99570
16,65.84,62.36,69.00,0.00023,0.00027,0.00018,99498,99445,99554
17,64.85,61.38,68.01,0.00026,0.00033,0.00018,99475,99418,99537
18,63.87,60.40,67.03,0.00029,0.00038,0.00019,99449,99385,99518
19,62.89,59.42,66.04,0.00031,0.00042,0.00019,99420,99347,99500
20,61.91,58.45,65.05,0.00033,0.00044,0.00021,99389,99306,99480
21,60.93,57.47,64.07,0.00036,0.00047,0.00024,99356,99262,99459
22,59.95,56.50,63.08,0.00039,0.00050,0.00026,99320,99216,99435
23,58.97,55.53,62.10,0.00042,0.00054,0.00028,99282,99166,99409
24,58.00,54.56,61.11,0.00045,0.00058,0.00030,99240,99113,99381
25,57.02,53.59,60.13,0.00047,0.00061,0.00032,99196,99055,99351
26,56.05,52.62,59.15,0.00049,0.00063,0.00033,99149,98994,99319
27,55.08,51.66,58.17,0.00050,0.00064,0.00035,99101,98932,99286
28,54.11,50.69,57.19,0.00053,0.00066,0.00039,99051,98868,99251
29,53.13,49.72,56.21,0.00056,0.00068,0.00043,98998,98803,99212
30,52.16,48.76,55.24,0.00060,0.00073,0.00047,98943,98736,99170
31,51.19,47.79,54.26,0.00065,0.00080,0.00050,98883,98663,99123
32,50.23,46.83,53.29,0.00069,0.00086,0.00052,98819,98585,99074
33,49.26,45.87,52.32,0.00073,0.00091,0.00053,98750,98500,99022
34,48.30,44.91,51.35,0.00076,0.00096,0.00054,98678,98410,98969
35,47.33,43.95,50.37,0.00079,0.00102,0.00055,98604,98316,98916
36,46.37,43.00,49.40,0.00084,0.00110,0.00057,98526,98215,98861
37,45.41,42.04,48.43,0.00090,0.00119,0.00059,98443,98107,98806
38,44.45,41.09,47.46,0.00096,0.00129,0.00063,98355,97990,98747
39,43.49,40.15,46.49,0.00104,0.00139,0.00067,98260,97864,98685
40,42.54,39.20,45.52,0.00112,0.00150,0.00073,98158,97727,98619
41,41.58,38.26,44.55,0.00123,0.00164,0.00081,98048,97581,98546
42,40.64,37.32,43.59,0.00136,0.00183,0.00089,97927,97421,98467
43,39.69,36.39,42.62,0.00152,0.00207,0.00096,97793,97243,98379
44,38.75,35.46,41.66,0.00170,0.00234,0.00103,97644,97042,98285
45,37.81,34.55,40.71,0.00187,0.00261,0.00109,97478,96815,98184
46,36.88,33.63,39.75,0.00203,0.00286,0.00116,97296,96562,98076
47,35.96,32.73,38.80,0.00218,0.00311,0.00122,97099,96286,97963
48,35.04,31.83,37.84,0.00236,0.00340,0.00128,96887,95986,97843
49,34.12,30.94,36.89,0.00257,0.00374,0.00135,96658,95660,97717
50,33.20,30.05,35.94,0.00280,0.00411,0.00145,96409,95303,97585
51,32.30,29.17,34.99,0.00303,0.00448,0.00157,96139,94911,97444
52,31.39,28.30,34.05,0.00327,0.00485,0.00169,95847,94486,97291
53,30.49,27.44,33.10,0.00351,0.00521,0.00181,95534,94028,97127
54,29.60,26.58,32.16,0.00377,0.00561,0.00191,95199,93538,96951
55,28.71,25.73,31.22,0.00402,0.00603,0.00199,94840,93013,96766
56,27.82,24.88,30.28,0.00427,0.00646,0.00211,94458,92452,96573
57,26.94,24.04,29.35,0.00454,0.00690,0.00227,94054,91855,96369
58,26.06,23.20,28.41,0.00487,0.00740,0.00246,93627,91221,96151
59,25.19,22.37,27.48,0.00528,0.00798,0.00268,93171,90546,95914
60,24.32,21.55,26.55,0.00575,0.00866,0.00291,92679,89823,95657
61,23.46,20.73,25.63,0.00626,0.00938,0.00318,92146,89046,95379
62,22.60,19.92,24.71,0.00684,0.01018,0.00351,91570,88211,95075
63,21.75,19.12,23.80,0.00741,0.01099,0.00386,90944,87312,94742
64,20.91,18.33,22.89,0.00800,0.01184,0.00425,90270,86353,94376
65,20.08,17.54,21.98,0.00859,0.01275,0.00469,89548,85330,93974
66,19.25,16.76,21.08,0.00926,0.01380,0.00521,88779,84243,93534
67,18.42,15.99,20.19,0.01026,0.01527,0.00592,87957,83080,93046
68,17.61,15.23,19.31,0.01161,0.01726,0.00682,87055,81811,92496
69,16.81,14.49,18.44,0.01329,0.01966,0.00793,86044,80399,91865
70,16.03,13.77,17.58,0.01508,0.02222,0.00915,84900,78818,91136
71,15.27,13.07,16.74,0.01687,0.02477,0.01047,83620,77067,90302
72,14.52,12.39,15.91,0.01877,0.02754,0.01193,82209,75158,89357
73,13.79,11.73,15.10,0.02097,0.03068,0.01361,80666,73088,88291
